,index,text,token_ct,embeddings
67,67,"Entrepreneur - Idealism: WHAT MAKES YOU UNIQUE

If you score high in Idealism, it means you want to help others! No matter what someone is struggling with, you quickly extend your hand to them and do what you can. You imagine a society without pain or suffering, which inspires you to give to others without expecting anything in return—you’re selfless!",75,"[-0.01970908 -0.02064064  0.01401328 ... -0.00033956  0.0061882
 -0.03319005]"
68,68,"Entrepreneur - Idealism: WHY IDEALISM MATTERS

The Idealism passion increases your levels of empathy and compassion. It motivates you to ensure other people are getting the help they need—and it gives you ideas on how to do it! Your ability to see and meet the needs of others for a positive impact that continues even years later is what makes this passion truly powerful. You will know you’ve mastered your Idealism when your ideas can inspire others to become better people, which can lead to a better world!",105,"[-0.00458852 -0.03325357  0.01131966 ...  0.00111169 -0.0052379
 -0.04208778]"
69,69,"Entrepreneur - Idealism: HOW YOU CONNECT WITH OTHERS

You get involved with charitable activities and noble causes to show people you care! You even donate to organizations that benefit others.
You are concerned for the welfare of humanity, and you like to surround yourself with people who feel the same way. Being around them—and seeing what they do—makes you believe things will get better.
You appreciate when people show kindness and compassion towards others. It shows you that they are unassuming, willing to care for strangers, and want to build a better society.",111,"[-0.00011723 -0.0374741   0.00843892 ... -0.00801038  0.00231906
 -0.03462596]"
70,70,"Entrepreneur - Idealism: THINGS TO KEEP IN MIND

According to motivation science, Idealism is the passion most related to the desire for social justice. If you score high in this passion, you want to do everything you can to help others—but you might do it even if there's a cost to yourself! 
Unmanaged Idealism can cause you to focus on the unfair treatment of others to the point that you become fixated on it. Your desire to help might become an urgency to find a way to make things right! 
Your strong feelings can cause you to complain when you see people treated poorly. And as you try to speak up about fairness, you are likely to be defensive of your beliefs and judgmental of others who don't feel the same way. 
Eventually, the pressure you put on yourself to ensure everything is fair will emotionally, physically, and mentally exhaust you. You might want to dial it back, but then you feel guilty if you don't do anything, which makes you help even more!",208,"[-0.01634887 -0.03275056  0.02451009 ...  0.00062191  0.01313984
 -0.03275056]"
71,71,"Entrepreneur - Idealism: TAKE A MOMENT AND REFLECT

What can you do today to ensure you’re taking care of yourself as much as you care for others? 
If you feel like you always have to say yes, help, or speak out, it's time to manage your Idealism!",62,"[ 0.00409497 -0.03244018  0.00206913 ...  0.01198529  0.00902226
 -0.04008413]"
72,72,"Producer - Independence: GENERAL DESCRIPTION:

Producer
Independence
You like to be self-reliant, so it motivates you to do things on your own without the input of others—you know you've got it!",44,"[-0.00489598 -0.02600969  0.00044869 ... -0.00759894  0.01549116
 -0.01603775]"
73,73,"Producer - Independence: WHAT MAKES YOU UNIQUE

If you score high in Independence, it simply means you are independent! You place great value on personal freedom. You can be unconventional in your thinking, and you like to make decisions on your own and do things your way. Staying swift and silent is how you like it—and you get things done faster that way!",74,"[ 0.00414203 -0.02279464  0.01105439 ... -0.00485815  0.00474384
 -0.02036052]"
74,74,"Producer - Independence: WHY INDEPENDENCE MATTERS

Independence enables you to make decisions and create solutions quickly without relying on the input of others. You are very effective working alone, and when you can see immediate results, it motivates you to do even more. Your willingness to do what is necessary has a real, tangible impact on the people around you.",73,"[ 0.00485609 -0.02585114 -0.00167378 ... -0.02273591  0.00380568
 -0.02297152]"
75,75,"Producer - Independence: HOW YOU CONNECT WITH OTHERS

You are at your best when you’re alone and have space to think about your decisions and how they impact others. Some people may view you as more guarded, private, and reserved. Others might say you are more mature because you do everything independently.
You would prefer to do things your way rather than go with the crowd. You might even attempt to stand out with how you dress, wear your hair, or with unusual interests. 
You might need alone time to relax without anyone around you. (Everyone needs time to themselves, but it’s especially true for you!)
It can take time for you to trust others with your thoughts and feelings. You do best when people give you space to think and allow you to express your opinion when you are ready.",162,"[ 0.02821335 -0.02342364  0.02482774 ... -0.0066367   0.0105636
 -0.00864116]"
76,76,"Producer - Independence: THINGS TO KEEP IN MIND

According to motivation science, Independence is the passion closest to self-reliance. If you score high in this passion, it means you prefer doing everything by yourself. You perform at your best when you can be alone, think in the quiet, and hear only yourself—but this can impact you and those trying to help! 
If your Independence is unmanaged, you could be so set on working alone that you isolate yourself from others. It can lead you to feel overwhelmed. And when others try to help you, data reveals that you will get offended or even feel bad because you view needing help as a weakness. At the extreme, you might become a silent sufferer. When it comes to teamwork, your unmanaged Independence will come off as immature, stubborn, and inflexible, which can significantly delay the process or progress of the bigger picture.",182,"[ 0.00284005 -0.0197557   0.01865226 ...  0.00318238  0.01227752
 -0.01616617]"
77,77,"Producer - Independence: TAKE A MOMENT AND REFLECT

Do you insist on working alone but get overwhelmed by how much you need to complete? 
If your need to work alone negatively affects your ability to collaborate with others, it’s time to manage your Independence!",53,"[ 0.0028851  -0.03247912 -0.00253701 ... -0.00343066  0.00825366
 -0.02512915]"
78,78,"Integrator - Interdependence: GENERAL DESCRIPTION:

Integrator
Interdependence
You're at your best when you can work as part of a team—and you know how to bring the best out of everyone else, too!",44,"[-0.01304786 -0.01223694  0.00890684 ... -0.02844871 -0.02665405
 -0.01438388]"
79,79,"Integrator - Interdependence: WHAT MAKES YOU UNIQUE

If you score high in Interdependence, this means you value teamwork! You like it when things are coordinated, when people are connected with one another, and everyone is on the same page. Your Interdependence gives you a strong gift to find people who are complimentary. You can interconnect people, and you know how to get them to work together smoothly!",83,"[-0.02529849 -0.01812644  0.02215745 ... -0.01980167 -0.01396456
 -0.01978858]"
80,80,"Integrator - Interdependence: WHY INTERDEPENDENCE MATTERS

The Interdependence passion helps keep people on track—and this is crucial for everyone! You will know you have mastered your Interdependence when you are able to use it to organize people and their thoughts and ideas, and make sure everything functions together. It’s this ability to bring people together to focus on a common goal that makes your Interdependence truly impactful.",83,"[-0.01206657 -0.00944512  0.02072131 ... -0.02083986 -0.01661129
 -0.03899241]"
81,81,"Integrator - Interdependence: HOW YOU CONNECT WITH OTHERS 

You are a natural at teamwork! People love working with you because you give space for each person to share their ideas and opinions. Even if you don't know the people you are working with, you want to make sure every member of the team is being cultivated and connected for the sake of the goal. 
You value togetherness and connection. You have a strong desire to feel ""one"" with people in all areas of your life, and it shows even when people are in conflict. 
You welcome support from others when you are trying to figure something out. You value their feedback! Input from others helps you to sort out your thoughts, and, in turn, you share your input too.",155,"[-0.00783668 -0.01247284  0.01174844 ... -0.02163978 -0.02307541
 -0.02427396]"
82,82,"Integrator - Interdependence: THINGS TO KEEP IN MIND

According to motivation science, Interdependence is the passion most related to dependence. If you score high in this passion, it means you desire togetherness so much that you might conform to the group's standard. You will go along to get along!

If your Interdependence is unmanaged, you will struggle to make decisions on your own. Hearing other people's thoughts may cause your trust in your own opinion to fade away, and you will slowly believe that other people's input is more important. You'll depend on other people's support so much that it will be hard for you to function by yourself.",136,"[-0.00863429 -0.01180174  0.02568419 ... -0.00878007 -0.00750779
 -0.01974687]"
83,83,"Integrator - Interdependence: TAKE A MOMENT AND REFLECT

Do you rely on the support of others so much that it's hard to make decisions on your own?
If you find it hard to trust yourself or make decisions on your own, it's time to manage your Interdependence!",59,"[ 0.01135534 -0.02664292  0.00166184 ... -0.00420977 -0.00791798
 -0.02950517]"
84,84,"Administrator - Order: GENERAL DESCRIPTION:

Administrator
Order
You like your life to be in order, so you value the structures that help you keep it that way—you love rules and daily schedules!",39,"[ 0.01229025  0.00832938 -0.01159047 ... -0.01265032 -0.00418167
 -0.02350705]"
85,85,"Administrator - Order: WHAT MAKES YOU UNIQUE

If you score high in Order, it means you're organized! You are known to have to-do lists, a cleaning day, or even a set time to work on something. You like your routine, and you stick to the same thing over and over again. When other people might struggle to get things done, you have the discipline and consistency to complete it all!",84,"[ 0.00247242 -0.00686454  0.010598   ...  0.00187666 -0.00051178
 -0.02314216]"
86,86,"Administrator - Order: WHY ORDER MATTERS

The Order passion provides stability and keeps your life running smoothly! When everything is in its place and you have a plan, it makes it easier to find what you're looking for and get things done! You will know you've mastered your Order when you can use it to benefit not only yourself but the people around you, too.",75,"[ 0.01498404 -0.00297029 -0.00969985 ...  0.00149592  0.00182991
 -0.04126578]"
87,87,"Administrator - Order: HOW YOU CONNECT WITH OTHERS

You’re dependable! When others ask you to do something or show up somewhere, they know they can rely on you to follow through. You care about doing things the right way and rarely need a reminder.    
You value preparation, planning, and precision and like to surround yourself with others who feel the same way. 
You appreciate when others are considerate of your schedule. A heads up when someone is going to be late or an apology when plans change goes a long way!
You also want to make sure your relationships are in order. You show gratitude and appreciation for the people you care about by planning or doing something for them. When you disagree or have a misunderstanding, you do whatever it takes to find a resolution.",156,"[ 0.00166319 -0.00337779  0.00663288 ... -0.00582035  0.00222367
 -0.01315963]"
88,88,"Administrator - Order: THINGS TO KEEP IN MIND

According to motivation science, Order is the passion most related to structure and stability. If you score high in this passion, you might crave structure so much that you experience stress when things don't go according to plan. 
Unmanaged Order can lead to obsession with your schedule—your desire to have things run smoothly can distract you from managing your time in other areas. And when you focus more and more on how you think it should be, it only makes you more stressed! 
Your need for structure can make others feel like you're controlling them or being nitpicky. It can cause them to be afraid to make mistakes, and they might feel like you don't trust them to do things right. 
Additionally, when others suggest a new way of approaching a task, you can struggle to adapt and change course. You might want to stick to your plan even when things become difficult! This inflexibility can prevent you from experiencing something great—and that's the last thing you want!",210,"[ 0.00334595 -0.00385059  0.01729435 ...  0.00320772  0.0008444
 -0.02931245]"
89,89,"Administrator - Order: TAKE A MOMENT AND REFLECT

Do you ever get annoyed with people because you feel like they don’t respect your schedule? 
If you find yourself struggling with last-minute changes, or you get frustrated and agitated with people when you're working together, it’s time to manage your Order!",64,"[ 0.00740194 -0.02226612 -0.0040292  ... -0.00156663  0.00813879
 -0.0294738 ]"
90,90,"Body - Physical Activity: GENERAL DESCRIPTION:

Body
Physical Activity
You like to keep your body moving—being active gives you an energy boost that makes you feel good!",34,"[-0.02517223 -0.00538899  0.02656211 ... -0.01491545 -0.00464579
 -0.04432166]"
91,91,"Body - Physical Activity: WHAT MAKES YOU UNIQUE

If you score high in Physical Activity, it means you’re active! You care about moving your body and enjoy physical exertion, exercise, and movement. You like activities that reward physical strength, stamina, fitness, or athletic skills. They give you a rush that makes you feel alive and happy. Your energy and stamina boost your performance in every area of your life!",85,"[-0.01129419 -0.00380942  0.03118164 ... -0.00459419  0.00793275
 -0.03510551]"
92,92,"Body - Physical Activity: WHY PHYSICAL ACTIVITY MATTERS 

The Physical Activity passion increases your desire to be active—an essential part of keeping your body healthy! It can help your sleep schedule, muscles, joints, and breathing. This passion not only benefits the physical aspect of your life, but it can help keep your other passions balanced too!",69,"[-0.0112358   0.00115843  0.03149379 ...  0.00552755  0.00906092
 -0.03513365]"
93,93,"Body - Physical Activity: HOW YOU CONNECT WITH OTHERS

You enjoy spending time with people doing something that requires movement. If given a choice, you'd choose something active over something like watching movies, any day.  
You gravitate toward people who are active like you. Often, doing something active is where you make new friends!",67,"[ 0.00542017 -0.00474426  0.02506667 ... -0.02036748 -0.00735778
 -0.04302661]"
94,94,"Body - Physical Activity: THINGS TO KEEP IN MIND

According to motivation science, Physical Activity is the passion closest to muscle movement. If you score high in Physical Activity it means you want to move, you need to move—and you might even push your body too far!
Unmanaged Physical Activity can lead to injuries. If you are stressed, you might turn to exercise or some other form of movement to deal with your problems. While this is effective sometimes, it can cause damage over time and push you too far. And if you're already cramped or sore, you could further injure yourself. 
On the flip side, if you don't have enough opportunities to be active, it can make you impatient, antsy, or fidgety. It can even cause your other passions to become heightened and unsettled!",166,"[-0.01512964 -0.00800864  0.03354488 ...  0.00437859  0.01190366
 -0.03243202]"
95,95,"Body - Physical Activity: TAKE A MOMENT AND REFLECT

Have you identified your sweet spot for Physical Activity?
When it comes to this passion, it's all about balance. If you find yourself exercising too much or too little, it's time to manage your Physical Activity!",56,"[-0.00119419 -0.02197901  0.02381598 ...  0.01878371 -0.00145697
 -0.04007709]"
96,96,"Producer - Power: GENERAL DESCRIPTION:

Producer
Power
You like to get things done, so it motivates you to speak up and make quick decisions that can have an impact—you're a leader!",40,"[-0.01188783 -0.03697845 -0.00359291 ... -0.01201401  0.00839453
 -0.01847594]"
97,97,"Producer - Power: WHAT MAKES YOU UNIQUE

If you score high in Power, it means you're achievement-oriented! You set challenging goals for yourself and will do whatever it takes to see them through. When others might want to give up, you remain determined to face the challenges and difficulties head-on. You like to be the one making decisions, and you make them quickly—you want to see results!",81,"[-0.00958745 -0.04197714  0.01676983 ...  0.00105058 -0.00401503
 -0.01504816]"
98,98,"Producer - Power: WHY POWER MATTERS

The Power passion motivates you to pursue excellence in all areas, from your decisions to how you speak to others. Your determination to work hard and achieve can hugely impact the people around you. You will know you have mastered your Power passion when you can use your influence to empower others and inspire change.",69,"[ 0.01221651 -0.03469177  0.01632784 ... -0.0031096   0.00414069
 -0.02646912]"
99,99,"Producer - Power: HOW YOU CONNECT WITH OTHERS 

Your words and actions make people want to become a better version of themselves. People observe you—they notice how you live, speak, and treat others. They see how determined you are and it encourages them.
You step up and lead when others are afraid to. You always share your opinion, and you fearlessly express your views. People look to you for counsel because they know you'll be thoughtful and honest and you won't hold back. 
You have powerful leadership qualities that inspire others, so if you haven't considered leadership yet, you should!",121,"[ 0.00211739 -0.02310591  0.00444294 ... -0.00032363 -0.00077898
 -0.01714729]"
100,100,"Producer - Power: THINGS TO KEEP IN MIND

According to motivation science, Power is the passion most related to the influence of will. If you score high in this passion, it can cause you to push yourself extremely hard. Your intense desire to achieve can make you want to control everything around you. It can lead you to neglect and hurt others! 
Power enables you to make decisions quickly, and you can struggle to understand that others might need more time. It can cause you to talk over people and make them feel they are not allowed to speak. In your impatience, you might force them to do what you think is best. 
Because you are so willing to do what it takes to succeed, you might believe other people are lazy or less hardworking than you. It can make you want to have even more control! And although you might step in with what you feel are helpful intentions, people will see you as pushy, controlling, and even manipulative.",199,"[-0.00075647 -0.02874993  0.02627194 ... -0.0009001   0.00016664
 -0.02094295]"
101,101,"Producer - Power: TAKE A MOMENT AND REFLECT

Do you notice others don’t speak much when you’re part of the conversation? 
If you feel like you always need to be in control, it's time to manage your Power!",49,"[ 0.00816857 -0.04170792  0.01183353 ...  0.01864838 -0.00264802
 -0.02847444]"
102,102,"Administrator - Practicality: GENERAL DESCRIPTION:

Administrator
Practicality
You like to keep things simple and straightforward to make it easier to stay on track—there's no reason to complicate things!",40,"[ 0.00663527  0.014961    0.01009491 ... -0.01234659 -0.0060022
 -0.02129855]"
103,103,"Administrator - Practicality: WHAT MAKES YOU UNIQUE

If you score high in Practicality, it simply means you're practical! You focus on the here and now and prefer to get straight to the point. You're a doer, and you like to be hands-on. You look for the most sensible, uncomplicated way of doing things and act quickly once you figure it out. It's easy for you to identify how to do things effectively in the simplest way possible—it's your gift!",100,"[-0.00668916  0.00431132  0.02860192 ...  0.00142467 -0.00909753
 -0.02241478]"
104,104,"Administrator - Practicality: WHY PRACTICALITY MATTERS

The Practicality passion ensures everything runs smoothly! Practicality increases your ability to see the most productive, straightforward way to approach something. It enables you to think of sensible solutions that work effectively and reliably! You will know you have mastered your Practicality when you can provide others with practical solutions that are easy to understand and duplicate so they can be more effective too!",85,"[ 0.01737     0.00143187  0.02413789 ... -0.00028889 -0.00880098
 -0.03468542]"
105,105,"Administrator - Practicality: HOW YOU CONNECT WITH OTHERS

You prefer to go somewhere and do something with people rather than sit and talk. You appreciate how real-life experiences can reveal people’s personalities and help you discover what you have in common. You love how a hands-on activity with others can become a meaningful, memorable experience! 
Because you are known to be realistic and practical, people often come to you when they have a decision to make—they know you can give them a solid, actionable step to take. 
You don't like wasting time with small talk or being polite, so you appreciate it when people get straight to the point. When people are up front about what they need, it helps you trust them!",145,"[-0.00200489  0.00558662  0.0182318  ... -0.01716253 -0.0064258
 -0.02106064]"
106,106,"Administrator - Practicality: THINGS TO KEEP IN MIND

According to motivation science, Practicality is the passion most related to being pragmatic. If you score high in this passion, you strive to keep things uncomplicated—but it can make it hard for you to interact with people who aren't exactly like you! 
If your Practicality is unmanaged, your ability to see the most straightforward and effective way of doing things can make you feel like it’s the only way. It can cause you to insist on taking the lead and make everyone else follow!
Unmanaged Practicality might make you want people to speak in simple, step-by-step instructions. You are apt to think people who ask questions are too curious. To you, extra words and questions waste time and energy! 
Your inability to see the perspectives of others can make you impatient. You might even become short-tempered, which can cause additional tension and drain more energy. It can lead you to disengage and become less productive—and you don't want that!",207,"[ 0.00606053 -0.00306081  0.03776126 ...  0.00625395 -0.00864627
 -0.02365847]"
107,107,"Administrator - Practicality: TAKE A MOMENT AND REFLECT

Do you find it hard to be open to the solutions others suggest?
If you struggle to balance your need to get things done with allowing others to express abstract ideas, it's time to manage your Practicality!",55,"[ 0.01236127 -0.01342795  0.00600173 ...  0.00753423 -0.00823635
 -0.03313442]"
108,108,"Administrator - Saving: GENERAL DESCRIPTION:

Administrator
Saving
You like to collect and safeguard things you see value in—you use everything wisely and ensure nothing goes to waste!",33,"[-0.0039032  -0.00406176  0.00402802 ... -0.01200985  0.00023741
 -0.01675981]"
109,109,"Administrator - Saving: WHAT MAKES YOU UNIQUE

If you score high in Saving, it means you're a collector! You view time, things, and the people around you as valuable resources, and it's reflected in your actions. You base all your decisions on whether it’s an effective use of what you have—and you have an innate ability to make the most of it all!",77,"[-0.00895704 -0.0108068   0.03299056 ... -0.00057971 -0.00283264
 -0.02153403]"
110,110,"Administrator - Saving: WHY SAVING MATTERS

The Saving passion boosts your ability to manage time, talents, money, and possessions. And when you know how to effectively make the most of what you have, it creates a sense of peace and satisfaction. It makes life more enjoyable! You will know you have mastered your Saving when you can manage your resources and use your gift to help others manage theirs, too!",83,"[ 0.00522096 -0.01257717  0.0278885  ...  0.00173001  0.02045417
 -0.03611704]"
111,111,"Administrator - Saving: HOW YOU CONNECT WITH OTHERS

Gifts have deep meaning for you—they're your treasures! If someone puts a lot of thought into a gift, you will keep it and hold it near and dear. To you, gifts represent your bond with someone or a memory you share. You keep pictures for the same reason! 
You are resourceful with everything you have, and people appreciate that you show the same care for their resources, too. They know they can trust you to make the most of everything they give you. 
You value spending time with people. When you are with those you love, you don't want to waste a minute! They know you cherish being with them, so it creates good memories for everyone. 
You see people's individual gifts and talents and know how to help them make the most of them.",171,"[-0.00386603 -0.01404064  0.01647349 ... -0.00973139  0.00382397
 -0.02252973]"
112,112,"Administrator - Saving: THINGS TO KEEP IN MIND

According to motivation science, Saving is the passion closest to the desire to collect things. If you score high in this passion, you're willing to do whatever it takes to protect your time, talents, and possessions—but it can cause you to draw away from people and become frustrated with them! 
Unmanaged Saving can make you stingy and inflexible. You might care so deeply for what you have that you become reluctant to share. And when you observe people who don't care about their resources or the people in their life as much as you think they should, you might judge them for it. To you, their actions mean they’re careless and reckless—it can cause you to feel you can't trust them!
If your Saving passion is unmanaged, it can ultimately hurt your relationships with other people. In the extreme, it might make you unwilling to work with others, and you don’t want that!",194,"[-0.00524857 -0.01845389  0.04301521 ...  0.00687085  0.01504479
 -0.02250796]"
113,113,"Administrator - Saving: TAKE A MOMENT AND REFLECT

Are you so protective of the things in your life that it’s hard for you to share or help others? 
If your desire to collect and manage is preventing you from enjoying life with other people, it’s time to manage your Saving!",60,"[ 0.01002629 -0.01561089  0.0208708  ...  0.00438001  0.01214974
 -0.0306763 ]"
114,114,"Integrator - Social Contact: GENERAL DESCRIPTION:

Integrator
Social Contact
You love to be with your friends and are always looking for opportunities to make new connections—you're a social butterfly!",38,"[-0.01503411 -0.00908367  0.00484104 ... -0.02321009 -0.0216502
 -0.03657674]"
115,115,"Integrator - Social Contact: WHAT MAKES YOU UNIQUE

If you score high in Social Contact, it means you love spending time with people! You are warm and welcoming. You like when you can frequently see your friends and enjoy venturing out to meet new people just as much. You try to introduce people to each other so they can experience how great it is, too.",76,"[-0.00806277 -0.00765013  0.02124746 ... -0.02274081 -0.01096432
 -0.03481859]"
116,116,"Integrator - Social Contact: WHY SOCIAL CONTACT MATTERS

The Social Contact passion boosts your social skills and helps you develop camaraderie among the people around you. Connections are important and necessary in all areas—and you know how to make them! You will know you have mastered your Social Contact passion when you can truly get to know the people around you so you can work smoothly with them when needed.",80,"[-0.00733969 -0.0009067   0.02534446 ... -0.01177133 -0.00517687
 -0.0390037 ]"
117,117,"Integrator - Social Contact: HOW YOU CONNECT WITH OTHERS 

People love being around you because you are fun-loving and trusting. You want to get to know people on a human level, and they can tell. Even if someone doesn't know you, they feel a connection and want to become friends with you.
You maintain friendships, even after years have passed. You keep the connections because they’re meaningful—the fact that they lead to future opportunities is a bonus! 
You value the company of others and like to feel you belong. You love the saying, ""One for all, and all for one,"" and it shows when you hang out with people or organize activities, parties, or a fun event.",142,"[-0.00085395 -0.00828748  0.00891991 ... -0.02463845 -0.01391348
 -0.03080465]"
118,118,"Integrator - Social Contact: THINGS TO KEEP IN MIND

According to motivation science, Social Contact is the passion most related to companionship—specifically friendship with peers. If you score high in Social Contact, you can desire the companionship of friends so much that you will do whatever it takes to avoid being alone. You will be so eager to make friends that people might even take advantage of your kindness!   
If your Social Contact is unmanaged, you will constantly seek opportunities to get to know new people and be surrounded by them. You may develop a sense of FoMO (the fear of missing out)! Although the company of other people is great, too much of it can distract you and be mentally, physically, and emotionally exhausting! You might have a lot of commitments, but it will be hard for you to find time for yourself.",172,"[-0.00271589 -0.01255373  0.02456395 ... -0.01074424 -0.00318483
 -0.03886752]"
119,119,"Integrator - Social Contact: TAKE A MOMENT AND REFLECT

Has it been a while since you have had time for yourself?
If you find yourself mentally, emotionally, physically, or spiritually exhausted from spending time with people you love but hate to be alone, it's time to manage your Social Contact!",62,"[ 0.00438532 -0.01998018  0.01257639 ... -0.00871704  0.00254777
 -0.02990997]"
120,120,"Integrator - Soft Power: GENERAL DESCRIPTION:

Integrator
Soft Power
You allow others to be themselves and accept them for who they are, no matter what—you like to support others, and it shows!",42,"[ 0.00092831 -0.0297058   0.00200216 ... -0.01584129 -0.01451441
 -0.0091392 ]"
121,121,"Integrator - Soft Power: WHAT MAKES YOU UNIQUE

If you score high in Soft Power, it means you’re laid-back! You're kind, attentive, and gentle. You always make room for others to speak and act and will never force anyone into anything, regardless of your opinion. You don't mind if others are the center of attention—you actually prefer it that way!",77,"[-0.01016269 -0.02145682  0.02013682 ... -0.00178807 -0.00734085
 -0.02152417]"
122,122,"Integrator - Soft Power: WHY SOFT POWER MATTERS

The Soft Power passion increases your ability to support others. It makes you willing to wait to speak—and to put your opinion aside—so others can have their turn. Your Soft Power is like a breath of fresh air that gives people the space to think through their thoughts, worries, and concerns. You will know you've mastered your Soft Power when you can support others and find the confidence to share your thoughts, too!",97,"[ 0.01489105 -0.02844897  0.01313799 ...  0.00305953 -0.002168
 -0.02022357]"
123,123,"Integrator - Soft Power: HOW YOU CONNECT WITH OTHERS 

You're a good listener, so people come to you when they have a problem or need to make a big decision. They know you will empathize and help them feel like they can decide and think for themselves. 
You're helpful and generous, and people feel supported and valued by you. They know you'll be there for them even if you disagree with their decisions. 
You appreciate it when people give you the space to share your thoughts without interruption. It helps you trust them, which prompts you to speak up even more!",120,"[ 0.00841634 -0.02498434  0.00953455 ... -0.00895228 -0.01187021
 -0.01348467]"
124,124,"Integrator - Soft Power: THINGS TO KEEP IN MIND

According to motivation science, Soft Power is the passion most related to understanding and being supportive of others. But if you score high in this passion, you might shy away from speaking up even if you want to! 
Unmanaged Soft Power can cause you to dismiss your own opinion and wait for others to make a move. They might think you want them to tell you what to do or make a quick decision without your input. You might feel so much stress and pressure that you just give in, even if you're uncomfortable. It can lead you to feel frustrated, bitter, and resentful! 
Eventually, your frustration can build to the point that it pushes you to speak up—and it might not come out as you intend! Unmanaged Soft Power can make it hard for you to be straightforward. It can lead you to speak in subtle, indirect statements that make people see you as passive-aggressive. And this can cause even more problems and frustration for everyone!",207,"[ 0.0055774  -0.0306876   0.02331443 ... -0.00809963  0.00550272
 -0.01356501]"
125,125,"Integrator - Soft Power: TAKE A MOMENT AND REFLECT

Do you find it hard to express your opinion to others, so you keep it bottled up inside? 
If you struggle to share your opinion or make decisions immediately and clearly, it's time to manage your Soft Power!",58,"[ 0.01954771 -0.03606559  0.00502314 ...  0.00432216 -0.00567761
 -0.03776655]"
126,126,"Producer - Status: GENERAL DESCRIPTION:

Producer
Status
You like to act and dress in a way that shows others who you are and strive to be—you want people to respect you!",37,"[-0.01143908 -0.02803723  0.00303365 ... -0.00445341  0.0066683
 -0.00957534]"
127,127,"Producer - Status: WHAT MAKES YOU UNIQUE

If you score high in Status, it means you care about your image! You like to make sure your reputation is worthy of respect. It shows in your clothes, how you do your hair, the brands you buy, and the people you surround yourself with. You view yourself as a brand, and it allows people to know exactly who you are without actually saying it!",84,"[-0.00318258 -0.01247769  0.02297438 ...  0.01284331  0.0004188
 -0.02160496]"
128,128,"Producer - Status: WHY STATUS MATTERS

The Status passion increases your ability to make sure someone's image matches how they want to present themselves. You will know you have mastered your Status when you can identify and solidify your image and brand and help others do the same. The right image is a confidence booster!",63,"[-0.00189793 -0.01171752  0.0140237  ...  0.01473022 -0.00247614
 -0.02451481]"
129,129,"Producer - Status: HOW YOU CONNECT WITH OTHERS 

You like to feel important, and you care about your image. You wear the right clothes, do the right things, and go to the right places to get respect from others, and you show people who also care about these things the same respect.
People might know you as someone who cares about popularity. You pay attention to celebrities and name brands and enjoy talking about it with others who share the same interest. You trust people or things because of their reputation and how they are presented. 
You like it when people pay attention to their appearance just as much as you do. You want their looks and accomplishments to show who they are! When someone's looks match up with what they do, you feel that you can trust what they say.",159,"[ 0.00139938 -0.01434034  0.02338967 ...  0.00699691  0.00049811
 -0.01490009]"
130,130,"Producer - Status: THINGS TO KEEP IN MIND

According to motivation science, Status is the passion most related to respect based on social standing. If you score high in this passion, it can make you reluctant to work with people who don’t appear to be important. Status can cloud your judgment and cause you to overlook opportunities with others—you might miss out on something great! 
Unmanaged Status can also lead to a sense of entitlement. If you work hard, you want to receive credit for everything you do. You want everyone to notice! If you believe you are entitled to more respect than others give you, you might complain about unfair treatment. It can lead you to feel anger and resentment. 
As you try to show the best of yourself, your Status passion might communicate, ""I am more important than you"" to others. This mindset can make you mistreat people who, to you, are ""regular."" Ultimately, unmanaged Status might lead you to underestimate the abilities of others and limit what you can learn from them.",209,"[-0.00285832 -0.02698874  0.03402461 ... -0.00306477  0.00408859
 -0.01538761]"
131,131,"Producer - Status: TAKE A MOMENT AND REFLECT

Is it possible people feel intimidated by you or are afraid to speak to you? 
The key is to ensure your Status enhances your skills and image but doesn't put people down. If you’re struggling to find that balance, it’s time to manage your Status!",65,"[-0.00771531 -0.02833768  0.00557619 ...  0.0139454  -0.00738672
 -0.02983605]"
132,132,"Administrator - Tranquility: GENERAL DESCRIPTION:

Administrator
Tranquility
You desire inner peace, so it motivates you to create outer peace, too—you don't want what's going on outside of you to affect what's inside!",49,"[-0.00197301 -0.00381405  0.01172589 ...  0.00190208  0.00948234
 -0.04239006]"
133,133,"Administrator - Tranquility: WHAT MAKES YOU UNIQUE

If you score high in Tranquility, it means you're cautious! You like to think things through before you make a decision. You know that things can go wrong, so you carefully dot all your i's and cross all your t's to be ready for anything. You do your best to ensure everyone around you feels safe and secure because it makes it easier for you to feel that way, too!",94,"[ 0.00837592 -0.0068159   0.04485906 ...  0.01228603  0.00458634
 -0.02680831]"
134,134,"Administrator - Tranquility: WHY TRANQUILITY MATTERS

The Tranquility passion influences your desire for personal safety. You base all of your decisions—what you do, where you go, who you surround yourself with—on whether or not it can help you create and maintain your inner peace. You will know you have mastered your Tranquility when you can create peace no matter what happens or where you are. Your desire to be safer and more secure can end up benefiting everyone!",99,"[ 0.02075553 -0.00945047  0.03488192 ...  0.00296437  0.00209134
 -0.03004159]"
